Country/Region,Province/State,Latitude,Longitude,Confirmed,Recovered,Deaths,Date
China,Anhui,31.8257,117.2264,1,,,1/22/2020
China,Beijing,40.1824,116.4142,14,,,1/22/2020
China,Chongqing,30.0572,107.874,6,,,1/22/2020
China,Fujian,26.0789,117.9874,1,,,1/22/2020
China,Gansu,36.0611,103.8343,,,,1/22/2020
China,Guangdong,23.3417,113.4244,26,,,1/22/2020
China,Guangxi,23.8298,108.7881,2,,,1/22/2020
China,Guizhou,26.8154,106.8748,1,,,1/22/2020
China,Hainan,19.1959,109.7453,4,,,1/22/2020
China,Hebei,38.0428,114.5149,1,,,1/22/2020
China,Heilongjiang,47.862,127.7615,,,,1/22/2020
China,Henan,33.882,113.614,5,,,1/22/2020
Hong Kong,Hong Kong,22.3,114.2,,,,1/22/2020
China,Hubei,30.9756,112.2707,444,28,17,1/22/2020
China,Hunan,27.6104,111.7088,4,,,1/22/2020
China,Inner Mongolia,44.0935,113.9448,,,,1/22/2020
China,Jiangsu,32.9711,119.455,1,,,1/22/2020
China,Jiangxi,27.614,115.7221,2,,,1/22/2020
China,Jilin,43.6661,126.1923,,,,1/22/2020
China,Liaoning,41.2956,122.6085,2,,,1/22/2020
Macau,Macau,22.1667,113.55,1,,,1/22/2020
China,Ningxia,37.2692,106.1655,1,,,1/22/2020
China,Qinghai,35.7452,95.9956,,,,1/22/2020
China,Shaanxi,35.1917,108.8701,,,,1/22/2020
China,Shandong,36.3427,118.1498,2,,,1/22/2020
China,Shanghai,31.202,121.4491,9,,,1/22/2020
China,Shanxi,37.5777,112.2922,1,,,1/22/2020
China,Sichuan,30.6171,102.7103,5,,,1/22/2020
Taiwan,Taiwan,23.7,121,1,,,1/22/2020
China,Tianjin,39.3054,117.323,4,,,1/22/2020
China,Tibet,31.6927,88.0924,,,,1/22/2020
US,Washington,47.4009,-121.4905,1,,,1/22/2020
China,Xinjiang,41.1129,85.2401,,,,1/22/2020
China,Yunnan,24.974,101.487,1,,,1/22/2020
China,Zhejiang,29.1832,120.0934,10,,,1/22/2020
Japan,,36,138,2,,,1/22/2020
Thailand,,15.87,100.9925,2,,,1/22/2020
South Korea,,36,128,1,,,1/22/2020
China,Anhui,31.8257,117.2264,9,,,1/23/2020
China,Beijing,40.1824,116.4142,22,,,1/23/2020
China,Chongqing,30.0572,107.874,9,,,1/23/2020
China,Fujian,26.0789,117.9874,5,,,1/23/2020
China,Gansu,36.0611,103.8343,2,,,1/23/2020
China,Guangdong,23.3417,113.4244,32,2,,1/23/2020
China,Guangxi,23.8298,108.7881,5,,,1/23/2020
China,Guizhou,26.8154,106.8748,3,,,1/23/2020
China,Hainan,19.1959,109.7453,5,,,1/23/2020
China,Hebei,38.0428,114.5149,1,,1,1/23/2020
China,Heilongjiang,47.862,127.7615,2,,,1/23/2020
China,Henan,33.882,113.614,5,,,1/23/2020
Hong Kong,Hong Kong,22.3,114.2,2,,,1/23/2020
China,Hubei,30.9756,112.2707,444,28,17,1/23/2020
China,Hunan,27.6104,111.7088,9,,,1/23/2020
China,Inner Mongolia,44.0935,113.9448,,,,1/23/2020
China,Jiangsu,32.9711,119.455,5,,,1/23/2020
China,Jiangxi,27.614,115.7221,7,,,1/23/2020
China,Jilin,43.6661,126.1923,1,,,1/23/2020
China,Liaoning,41.2956,122.6085,3,,,1/23/2020
Macau,Macau,22.1667,113.55,2,,,1/23/2020
China,Ningxia,37.2692,106.1655,1,,,1/23/2020
China,Qinghai,35.7452,95.9956,,,,1/23/2020
China,Shaanxi,35.1917,108.8701,3,,,1/23/2020
China,Shandong,36.3427,118.1498,6,,,1/23/2020
China,Shanghai,31.202,121.4491,16,,,1/23/2020
China,Shanxi,37.5777,112.2922,1,,,1/23/2020
China,Sichuan,30.6171,102.7103,8,,,1/23/2020
Taiwan,Taiwan,23.7,121,1,,,1/23/2020
China,Tianjin,39.3054,117.323,4,,,1/23/2020
China,Tibet,31.6927,88.0924,,,,1/23/2020
US,Washington,47.4009,-121.4905,1,,,1/23/2020
China,Xinjiang,41.1129,85.2401,2,,,1/23/2020
China,Yunnan,24.974,101.487,2,,,1/23/2020
China,Zhejiang,29.1832,120.0934,27,,,1/23/2020
Japan,,36,138,1,,,1/23/2020
Thailand,,15.87,100.9925,3,,,1/23/2020
South Korea,,36,128,1,,,1/23/2020
Singapore,,1.2833,103.8333,1,,,1/23/2020
Philippines,,12.8797,121.774,,,,1/23/2020
Malaysia,,2.5,112.5,,,,1/23/2020
Vietnam,,16,108,2,,,1/23/2020
Australia,,-33.8688,144.9631,,,,1/23/2020
Mexico,,23,-102,,,,1/23/2020
Brazil,,-14.235,-51.9253,,,,1/23/2020
Colombia,,4.5709,-74.2973,,,,1/23/2020
China,Hubei,30.9756,112.2707,549,31,24,1/24/2020
China,Guangdong,23.3417,113.4244,53,2,,1/24/2020
China,Zhejiang,29.1832,120.0934,43,1,,1/24/2020
China,Beijing,40.1824,116.4142,36,1,,1/24/2020
China,Chongqing,30.0572,107.874,27,,,1/24/2020
China,Hunan,27.6104,111.7088,24,,,1/24/2020
China,Guangxi,23.8298,108.7881,23,,,1/24/2020
China,Shanghai,31.202,121.4491,20,1,,1/24/2020
China,Jiangxi,27.614,115.7221,18,,,1/24/2020
China,Sichuan,30.6171,102.7103,15,,,1/24/2020
China,Shandong,36.3427,118.1498,15,,,1/24/2020
China,Anhui,31.8257,117.2264,15,,,1/24/2020
China,Fujian,26.0789,117.9874,10,,,1/24/2020
China,Henan,33.882,113.614,9,,,1/24/2020
China,Jiangsu,32.9711,119.455,9,,,1/24/2020
China,Hainan,19.1959,109.7453,8,,,1/24/2020
China,Tianjin,39.3054,117.323,8,,,1/24/2020
China,Yunnan,24.974,101.487,5,,,1/24/2020
China,Shaanxi,35.1917,108.8701,5,,,1/24/2020
China,Heilongjiang,47.862,127.7615,4,,1,1/24/2020
China,Liaoning,41.2956,122.6085,4,,,1/24/2020
China,Guizhou,26.8154,106.8748,3,,,1/24/2020
China,Jilin,43.6661,126.1923,3,,,1/24/2020
Taiwan,Taiwan,23.7,121,3,,,1/24/2020
China,Ningxia,37.2692,106.1655,2,,,1/24/2020
Hong Kong,Hong Kong,22.3,114.2,2,,,1/24/2020
Macau,Macau,22.1667,113.55,2,,,1/24/2020
China,Hebei,38.0428,114.5149,2,,1,1/24/2020
China,Gansu,36.0611,103.8343,2,,,1/24/2020
China,Xinjiang,41.1129,85.2401,2,,,1/24/2020
China,Shanxi,37.5777,112.2922,1,,,1/24/2020
China,Inner Mongolia,44.0935,113.9448,1,,,1/24/2020
China,Qinghai,35.7452,95.9956,,,,1/24/2020
US,Washington,47.4009,-121.4905,1,,,1/24/2020
US,Chicago,38.578,-96.1951,1,,,1/24/2020
Japan,,36,138,2,,,1/24/2020
Thailand,,15.87,100.9925,5,,,1/24/2020
South Korea,,36,128,2,,,1/24/2020
Singapore,,1.2833,103.8333,3,,,1/24/2020
Vietnam,,16,108,2,,,1/24/2020
France,,17.9,-53,2,,,1/24/2020
China,Hubei,30.9756,112.2707,761,32,40,1/25/2020
China,Guangdong,23.3417,113.4244,78,2,,1/25/2020
China,Zhejiang,29.1832,120.0934,62,1,,1/25/2020
China,Chongqing,30.0572,107.874,57,,,1/25/2020
China,Hunan,27.6104,111.7088,43,,,1/25/2020
China,Beijing,40.1824,116.4142,41,2,,1/25/2020
China,Anhui,31.8257,117.2264,39,,,1/25/2020
China,Shanghai,31.202,121.4491,33,1,,1/25/2020
China,Henan,33.882,113.614,32,,,1/25/2020
China,Sichuan,30.6171,102.7103,28,,,1/25/2020
China,Shandong,36.3427,118.1498,27,,,1/25/2020
China,Guangxi,23.8298,108.7881,23,,,1/25/2020
China,Hainan,19.1959,109.7453,19,,,1/25/2020
China,Jiangxi,27.614,115.7221,18,,,1/25/2020
China,Fujian,26.0789,117.9874,18,,,1/25/2020
China,Jiangsu,32.9711,119.455,18,1,,1/25/2020
China,Liaoning,41.2956,122.6085,17,,,1/25/2020
China,Shaanxi,35.1917,108.8701,15,,,1/25/2020
China,Yunnan,24.974,101.487,11,,,1/25/2020
China,Tianjin,39.3054,117.323,10,,,1/25/2020
China,Heilongjiang,47.862,127.7615,9,,1,1/25/2020
China,Hebei,38.0428,114.5149,8,,1,1/25/2020
China,Inner Mongolia,44.0935,113.9448,7,,,1/25/2020
China,Shanxi,37.5777,112.2922,6,,,1/25/2020
Hong Kong,Hong Kong,22.3,114.2,5,,,1/25/2020
China,Guizhou,26.8154,106.8748,4,,,1/25/2020
China,Jilin,43.6661,126.1923,4,,,1/25/2020
China,Gansu,36.0611,103.8343,4,,,1/25/2020
China,Ningxia,37.2692,106.1655,3,,,1/25/2020
Taiwan,Taiwan,23.7,121,3,,,1/25/2020
China,Xinjiang,41.1129,85.2401,3,,,1/25/2020
Macau,Macau,22.1667,113.55,2,,,1/25/2020
China,Qinghai,35.7452,95.9956,1,,,1/25/2020
US,Washington,47.4009,-121.4905,1,,,1/25/2020
US,Illinois,40.3495,-88.9861,1,,,1/25/2020
Japan,,36,138,2,,,1/25/2020
Thailand,,15.87,100.9925,7,,,1/25/2020
South Korea,,36,128,2,,,1/25/2020
Singapore,,1.2833,103.8333,3,,,1/25/2020
Vietnam,,16,108,2,,,1/25/2020
France,,17.9,-53,3,,,1/25/2020
Australia,,-33.8688,144.9631,4,,,1/25/2020
Nepal,,28.3949,84.124,1,,,1/25/2020
Malaysia,,2.5,112.5,3,,,1/25/2020
China,Hubei,30.9756,112.2707,1058,42,52,1/26/2020
China,Guangdong,23.3417,113.4244,111,2,,1/26/2020
China,Zhejiang,29.1832,120.0934,104,1,,1/26/2020
China,Henan,33.882,113.614,83,,1,1/26/2020
China,Chongqing,30.0572,107.874,75,,,1/26/2020
China,Hunan,27.6104,111.7088,69,,,1/26/2020
China,Beijing,40.1824,116.4142,68,2,,1/26/2020
China,Anhui,31.8257,117.2264,60,,,1/26/2020
China,Shandong,36.3427,118.1498,46,,,1/26/2020
China,Sichuan,30.6171,102.7103,44,,,1/26/2020
China,Shanghai,31.202,121.4491,40,1,1,1/26/2020
China,Guangxi,23.8298,108.7881,36,,,1/26/2020
China,Jiangxi,27.614,115.7221,36,,,1/26/2020
China,Fujian,26.0789,117.9874,35,,,1/26/2020
China,Jiangsu,32.9711,119.455,33,1,,1/26/2020
China,Hainan,19.1959,109.7453,22,,,1/26/2020
China,Shaanxi,35.1917,108.8701,22,,,1/26/2020
China,Liaoning,41.2956,122.6085,21,,,1/26/2020
China,Yunnan,24.974,101.487,16,,,1/26/2020
China,Heilongjiang,47.862,127.7615,15,,1,1/26/2020
China,Tianjin,39.3054,117.323,14,,,1/26/2020
China,Hebei,38.0428,114.5149,13,,1,1/26/2020
China,Shanxi,37.5777,112.2922,9,,,1/26/2020
Hong Kong,Hong Kong,22.3,114.2,8,,,1/26/2020
China,Inner Mongolia,44.0935,113.9448,7,,,1/26/2020
China,Gansu,36.0611,103.8343,7,,,1/26/2020
China,Guizhou,26.8154,106.8748,5,,,1/26/2020
Macau,Macau,22.1667,113.55,5,,,1/26/2020
China,Ningxia,37.2692,106.1655,4,,,1/26/2020
China,Jilin,43.6661,126.1923,4,,,1/26/2020
Taiwan,Taiwan,23.7,121,4,,,1/26/2020
China,Xinjiang,41.1129,85.2401,4,,,1/26/2020
China,Qinghai,35.7452,95.9956,1,,,1/26/2020
US,Washington,47.4009,-121.4905,1,,,1/26/2020
US,Illinois,40.3495,-88.9861,1,,,1/26/2020
US,California,36.1162,-119.6816,2,,,1/26/2020
US,Arizona,33.7298,-111.4312,1,,,1/26/2020
Japan,,36,138,4,1,,1/26/2020
Thailand,,15.87,100.9925,8,2,,1/26/2020
